src,dst,attack
119.239.118.188,1.96.167.230,0
74.71.98.134,216.241.76.219,0
74.71.98.134,216.241.76.219,0
104.239.136.238,16.229.61.193,0
208.105.216.61,35.240.203.254,0
153.193.117.204,10.97.82.116,0
161.69.48.219,161.69.45.5,0
43.166.45.125,83.239.231.118,0
73.158.119.244,5.252.113.6,0
120.164.189.126,1.96.167.79,0
216.226.138.194,102.0.196.107,0
110.78.164.14,55.232.227.235,0
198.54.233.204,208.163.38.186,0
198.45.177.35,102.6.44.94,0
153.193.117.204,10.97.82.116,0
119.239.118.188,1.96.167.230,0
161.69.48.219,161.69.45.5,0
74.71.98.134,216.241.76.219,0
74.71.98.134,216.241.76.219,0
5.231.81.82,6.98.177.43,0
43.253.9.93,153.193.117.253,0
120.164.189.126,1.96.167.79,0
111.205.228.177,142.47.237.60,0
5.231.81.82,6.98.177.43,0
153.193.47.101,212.85.75.84,0
5.231.81.82,6.98.177.43,0
99.141.114.106,1.96.223.185,0
153.193.47.101,212.85.75.84,0
5.231.81.82,6.98.177.43,0
153.193.117.204,10.97.82.116,0
161.69.48.219,161.69.45.5,0
207.146.98.193,1.96.167.230,0
28.112.177.42,1.96.167.122,0
198.88.219.48,198.88.221.52,0
5.231.81.82,6.98.177.43,0
221.224.197.111,43.150.194.180,0
153.193.117.204,10.97.82.116,0
161.69.48.219,161.69.45.5,0
64.120.62.201,73.1.176.252,0
43.139.101.145,1.1.34.171,0
121.188.136.88,43.239.66.36,0
5.231.81.82,6.98.177.43,0
220.27.80.194,43.43.40.30,0
220.27.80.194,43.43.40.30,0
74.71.98.134,216.241.76.219,0
74.71.98.134,216.241.76.219,0
199.141.7.239,206.151.215.161,0
128.84.69.240,1.3.41.187,0
220.27.80.194,43.43.40.30,0
199.141.5.106,185.160.24.204,0
101.226.150.130,74.12.7.187,0
221.46.221.5,114.197.159.232,0
104.123.153.155,210.29.60.25,0
73.0.235.167,208.233.255.201,0
43.139.101.121,1.155.61.162,0
100.51.97.98,198.85.16.231,0
153.193.117.204,10.97.82.116,0
161.69.48.219,161.69.45.5,0
205.172.190.17,1.45.194.210,0
99.158.44.6,3.139.254.247,0
64.154.167.130,208.163.38.86,0
199.141.21.238,207.252.222.238,0
74.71.98.134,216.241.76.219,0
74.71.98.134,216.241.76.219,0
153.193.117.204,10.97.82.116,0
