"","ow","n_good","n_evil","p_good","p_evil","n_fwd","n_div","p_fwd","p_div","n_tp","n_fp","tpr","fpr","log2n","log2m","t"
"134",646,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"135",647,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"136",648,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"137",649,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"138",650,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"139",651,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"140",652,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"141",653,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"142",654,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"143",655,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"144",656,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"145",657,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"146",658,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"147",659,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"148",660,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"149",661,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"150",662,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"151",663,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"152",664,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"153",665,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"154",666,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"155",667,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"156",668,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"157",669,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"158",670,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"159",671,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"160",672,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"161",673,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"162",674,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"163",675,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"164",676,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"165",677,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"166",678,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"167",679,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"168",680,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"169",681,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"170",682,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"171",683,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"172",684,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"173",685,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"174",686,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"175",687,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"176",688,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"177",689,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"178",690,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"179",691,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"180",692,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"181",693,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"182",694,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"183",695,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"184",696,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"185",697,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"186",698,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"187",699,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"188",700,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"189",701,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"190",702,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
"191",703,16384,0,1,0,16384,0,1,0,0,0,NA,0,24,14,128
